ScD,AcD,ScA,AcA,NoS
2022-01-04 07:00:00,2022-01-04 06:59:00,2022-01-04 09:27:00,2022-01-04 09:30:00,6
2022-01-05 07:00:00,2022-01-05 06:59:00,2022-01-05 09:27:00,2022-01-05 09:30:00,6
2022-01-06 07:00:00,2022-01-06 06:59:00,2022-01-06 09:27:00,2022-01-06 09:30:00,6
2022-01-07 07:00:00,2022-01-07 07:00:00,2022-01-07 09:27:00,2022-01-07 09:27:00,6
2022-01-11 07:00:00,2022-01-11 06:59:00,2022-01-11 09:27:00,2022-01-11 09:37:00,6
2022-01-10 07:09:00,2022-01-10 07:08:00,2022-01-10 09:46:00,2022-01-10 09:45:00,6
2021-08-30 07:11:00,2021-08-30 07:11:00,2021-08-30 09:27:00,2021-08-30 09:30:00,6
2021-05-17 07:20:00,2021-05-17 07:20:00,2021-05-17 09:27:00,2021-05-17 09:32:00,6
2021-05-18 07:20:00,2021-05-18 07:20:00,2021-05-18 09:27:00,2021-05-18 09:37:00,6
2021-05-19 07:20:00,2021-05-19 07:19:00,2021-05-19 09:27:00,2021-05-19 09:30:00,6
2021-05-20 07:20:00,2021-05-20 07:19:00,2021-05-20 09:27:00,2021-05-20 09:29:00,6
2021-05-21 07:20:00,2021-05-21 07:19:00,2021-05-21 09:27:00,2021-05-21 09:30:00,6
2021-05-24 07:20:00,2021-05-24 07:21:00,2021-05-24 09:27:00,2021-05-24 09:36:00,6
2021-05-25 07:20:00,2021-05-25 07:20:00,2021-05-25 09:27:00,2021-05-25 09:33:00,6
2021-05-26 07:20:00,2021-05-26 07:19:00,2021-05-26 09:27:00,2021-05-26 09:33:00,6
2021-05-27 07:20:00,2021-05-27 07:19:00,2021-05-27 09:27:00,2021-05-27 09:29:00,6
2021-05-28 07:20:00,2021-05-28 07:19:00,2021-05-28 09:27:00,2021-05-28 09:28:00,6
2021-06-01 07:20:00,2021-06-01 07:19:00,2021-06-01 09:27:00,2021-06-01 09:31:00,6
2021-06-02 07:20:00,2021-06-02 07:19:00,2021-06-02 09:27:00,2021-06-02 09:30:00,6
2021-06-03 07:20:00,2021-06-03 07:20:00,2021-06-03 09:27:00,2021-06-03 09:34:00,6
2021-06-04 07:20:00,2021-06-04 07:19:00,2021-06-04 09:27:00,2021-06-04 09:29:00,6
2021-06-07 07:20:00,2021-06-07 07:20:00,2021-06-07 09:27:00,2021-06-07 09:39:00,6
2021-06-08 07:20:00,2021-06-08 07:19:00,2021-06-08 09:27:00,2021-06-08 09:29:00,6
2021-06-09 07:20:00,2021-06-09 07:19:00,2021-06-09 09:27:00,2021-06-09 09:30:00,6
2021-06-10 07:20:00,2021-06-10 07:19:00,2021-06-10 09:27:00,2021-06-10 09:27:00,6
2021-06-11 07:20:00,2021-06-11 07:22:00,2021-06-11 09:27:00,2021-06-11 09:29:00,6
2021-06-14 07:20:00,2021-06-14 07:19:00,2021-06-14 09:27:00,2021-06-14 09:29:00,6
2021-06-15 07:20:00,2021-06-15 07:19:00,2021-06-15 09:27:00,2021-06-15 09:29:00,6
2021-06-16 07:20:00,2021-06-16 07:19:00,2021-06-16 09:27:00,2021-06-16 09:30:00,6
2021-06-17 07:20:00,2021-06-17 07:19:00,2021-06-17 09:27:00,2021-06-17 09:29:00,6
2021-06-18 07:20:00,2021-06-18 07:19:00,2021-06-18 09:27:00,2021-06-18 09:36:00,6
2021-06-21 07:20:00,2021-06-21 07:20:00,2021-06-21 09:27:00,2021-06-21 09:29:00,6
2021-06-22 07:20:00,2021-06-22 07:19:00,2021-06-22 09:27:00,2021-06-22 09:28:00,6
2021-06-23 07:20:00,2021-06-23 07:20:00,2021-06-23 09:27:00,2021-06-23 09:27:00,6
